Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Price~String~Price~100|Field=Quantity~Integer~Quantity~100|Field=Value~String~Value~100|Field=Vendor~String~Vendor~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PrintingProjectAllDocs.PrjPCB|ReportField=ProjectFullPath~C:\Users\laptop\Desktop\Levi\SeniorProject\Epic Cube Design\Workspace\Projects\PrintingProjectAllDocs.PrjPCB|ReportField=Title~Speaker Mixer BOM 2 For Schematic Document [SpeakerMixer.SchDoc]|ReportField=TotalQuantity~28|ReportField=ReportTime~11:26:07 PM|ReportField=ReportDate~9/24/2012|ReportField=ReportDateTime~9/24/2012 11:26:07 PM|ReportField=OutputName~Speaker Mixer BOM 2|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~50 S. Central Campus Dr.|ReportField=Address2~Rm. 3280 MEB|ReportField=Address3~Salt Lake City, UT|ReportField=Address4~Australia 2086|ReportField=ApprovedBy~|ReportField=Author~Levi Balling|ReportField=CheckedBy~|ReportField=CompanyName~Smart Home|ReportField=CurrentDate~9/24/2012|ReportField=CurrentTime~11:26:02 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\laptop\Desktop\Levi\SeniorProject\Epic Cube Design\Workspace\Schematics\SpeakerMixer.SchDoc|ReportField=DocumentName~SpeakerMixer.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~Levi Balling|ReportField=Engineer~Levi Balling|ReportField=ImagePath~|ReportField=ModifiedDate~8/31/2012|ReportField=Organization~U of U Computer Engineering|ReportField=Project~Smart Home|ReportField=ProjectName~PrintingProjectAllDocs.PrjPCB|ReportField=Revision~1|ReportField=Rule~|ReportField=SheetNumber~13|ReportField=SheetTotal~13|ReportField=Time~|ReportField=Title~Speaker Mixer|ReportField=Website~www.eng.utah.edu/~lballing/SmartHome|ReportField=DataSourceFileName~SpeakerMixer.SchDoc|ReportField=DataSourceFullPath~C:\Users\laptop\Desktop\Levi\SeniorProject\Epic Cube Design\Workspace\Schematics\SpeakerMixer.SchDoc
LED_White|Typical INFRARED GaAs LED|D1, D2, D3, D4|LED|LED0|0.04|4|LED0|Taydaelectronics
Header 8|Header, 8-Pin|P1|HDR1X8|Header 8|0.08|1|Header 8|Taydaelectronics
Header 3|Header, 3-Pin|P2, P3, P4, P5, P6, P7, P8, P9, P10|HDR1X3|Header 3|0.03|9|Header 3|Taydaelectronics
2N3904|NPN General Purpose Amplifier|Q1, Q2, Q3, Q4|2N3904|2N3904|0.01|4|2N3904|Taydaelectronics
Res1|Resistor|R1, R2, R5, R6|AXIAL-0.3|Res1|0.01|4|100|Taydaelectronics
Res1|Resistor|R3, R4, R7, R8|AXIAL-0.3|Res1|0.01|4|8.2K|Taydaelectronics
CD4051BCN|8-Channel Analog Multiplexer/Demultiplexer|U1, U2|N16E|CD4051BCN|0.23|2|CD4051BCN|Taydaelectronics
