Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~WirelessCommunications.PrjPcb|ReportField=ProjectFullPath~C:\Users\laptop\Desktop\Levi\SeniorProject\Epic Cube Design\Workspace\Projects\WirelessCommunications.PrjPcb|ReportField=Title~Bill of Materials For Project [WirelessCommunications.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~9|ReportField=ReportTime~11:43:33 PM|ReportField=ReportDate~8/17/2012|ReportField=ReportDateTime~8/17/2012 11:43:33 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~50 S. Central Campus Dr.|ReportField=Address2~Rm. 3280 MEB|ReportField=Address3~Salt Lake City, UT|ReportField=Address4~Australia 2086|ReportField=ApprovedBy~|ReportField=Author~Levi Balling|ReportField=CheckedBy~|ReportField=CompanyName~Smart Home|ReportField=CurrentDate~8/17/2012|ReportField=CurrentTime~11:43:31 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\laptop\Desktop\Levi\SeniorProject\Epic Cube Design\Workspace\Schematics\WirelessCommunications.SchDoc|ReportField=DocumentName~WirelessCommunications.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~Levi Balling|ReportField=Engineer~Levi Balling|ReportField=ImagePath~|ReportField=ModifiedDate~8/17/2012|ReportField=Organization~U of U Computer Engineering|ReportField=Project~Smart Home|ReportField=ProjectName~WirelessCommunications.PrjPcb|ReportField=Revision~1|ReportField=Rule~|ReportField=SheetNumber~11|ReportField=SheetTotal~13|ReportField=Time~|ReportField=Title~Wireless Communication Controller|ReportField=Website~www.eng.utah.edu/~lballing/SmartHome|ReportField=DataSourceFileName~WirelessCommunications.PrjPcb|ReportField=DataSourceFullPath~C:\Users\laptop\Desktop\Levi\SeniorProject\Epic Cube Design\Workspace\Projects\WirelessCommunications.PrjPcb
Header 2|Header, 2-Pin|P1, P3, P5, P6|HDR1X2|Header 2|4
Header 5|Header, 5-Pin|P2|HDR1X5|Header 5|1
Header 7|Header, 7-Pin|P4|HDR1X7|Header 7|1
Res1|Resistor|R1|AXIAL-0.3|Res1|1
RFM12 transceiver|www.futurlec.com 433 MHZ transceiver|T1|RFM12-transceiver|RFM12 transceiver|1
Teensy|The teensy 2.0 from www.PJRC.com, chang clock to 8MHz|U*1|Teensy2.0|Teensy2.0|1
