Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~SpeakerMixer.PrjPCB|ReportField=ProjectFullPath~C:\Users\laptop\Desktop\Levi\SeniorProject\Epic Cube Design\Workspace\Projects\SpeakerMixer.PrjPCB|ReportField=Title~Bill of Materials For Project [SpeakerMixer.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~29|ReportField=ReportTime~11:38:20 PM|ReportField=ReportDate~8/17/2012|ReportField=ReportDateTime~8/17/2012 11:38:20 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~50 S. Central Campus Dr.|ReportField=Address2~Rm. 3280 MEB|ReportField=Address3~Salt Lake City, UT|ReportField=Address4~Australia 2086|ReportField=ApprovedBy~|ReportField=Author~Levi Balling|ReportField=CheckedBy~|ReportField=CompanyName~Smart Home|ReportField=CurrentDate~8/17/2012|ReportField=CurrentTime~11:38:17 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\laptop\Desktop\Levi\SeniorProject\Epic Cube Design\Workspace\Schematics\SpeakerMixer.SchDoc|ReportField=DocumentName~SpeakerMixer.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~Levi Balling|ReportField=Engineer~Levi Balling|ReportField=ImagePath~|ReportField=ModifiedDate~8/17/2012|ReportField=Organization~U of U Computer Engineering|ReportField=Project~Smart Home|ReportField=ProjectName~SpeakerMixer.PrjPCB|ReportField=Revision~1|ReportField=Rule~|ReportField=SheetNumber~13|ReportField=SheetTotal~13|ReportField=Time~|ReportField=Title~Speaker Mixer|ReportField=Website~www.eng.utah.edu/~lballing/SmartHome|ReportField=DataSourceFileName~SpeakerMixer.PrjPCB|ReportField=DataSourceFullPath~C:\Users\laptop\Desktop\Levi\SeniorProject\Epic Cube Design\Workspace\Projects\SpeakerMixer.PrjPCB
LED_White|Typical INFRARED GaAs LED|D1, D2, D3, D4|LED-0|LED0|4
Header 3|Header, 3-Pin|P1, P3, P4, P5, P6, P7, P8, P9, P10, P11|HDR1X3|Header 3|10
Header 8|Header, 8-Pin|P2|HDR1X8|Header 8|1
2N3904|NPN General Purpose Amplifier|Q1, Q2, Q3, Q4|2N3904|2N3904|4
Res1|Resistor|R1, R2, R3, R4, R5, R6, R7, R8|AXIAL-0.3|Res1|8
CD4051BCN|8-Channel Analog Multiplexer/Demultiplexer|U1, U2|N16E|CD4051BCN|2
